onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
350.98	4.93	Related	1	1.23	gang	hide	seek	2.0
355.91	4.93	Related	0	1.146	backbone	loaf	spine	1.0
360.84	4.93	Unrelated	1	1.966	fur	youngest	compass	n/a
365.77	4.93	Related	0	2.628	film	giving	movie	1.0
374.7	4.85	control	1	1.251	500	300	700	n/a
379.55	4.85	control	1	1.742	300	500	500	2.0
384.4	4.85	control	0	n/a	300	700	500	n/a
389.25	4.85	control	1	1.148	300	700	300	1.0
394.1	4.85	control	0	1.214	700	500	500	2.0
398.95	4.85	control	0	1.675	700	500	300	n/a
403.8	4.85	control	1	1.213	500	700	500	1.0
408.65	4.85	control	1	1.368	500	300	500	1.0
413.5	4.85	control	1	1.129	700	300	300	2.0
418.35	4.85	control	1	1.052	700	300	500	n/a
427.2	4.93	Unrelated	1	1.613	sunset	creek	arrow	n/a
432.13	4.93	Related	1	1.019	cactus	veal	prickly	1.0
437.06	4.93	Related	0	1.704	spoon	canoe	fork	1.0
441.99	4.93	Unrelated	1	1.948	tackle	bacon	wipe	n/a
446.92	4.93	Related	1	1.366	founder	dig	shovel	2.0
451.85	4.93	Related	0	1.708	aim	supper	dinner	2.0
456.78	4.93	Related	1	0.916	gloom	purse	wallet	2.0
461.71	4.93	Unrelated	0	2.529	chest	handle	depth	n/a
466.64	4.93	Related	1	1.514	summer	trial	winter	1.0
471.57	4.93	Unrelated	1	1.84	joke	wealth	chart	n/a
480.5	4.85	control	1	1.054	500	700	700	2.0
485.35	4.85	control	1	1.457	700	300	500	n/a
490.2	4.85	control	0	1.384	300	700	700	2.0
495.05	4.85	control	1	1.234	700	500	700	1.0
499.9	4.85	control	1	1.064	500	300	300	2.0
504.75	4.85	control	1	1.021	500	300	700	n/a
509.6	4.85	control	1	1.492	500	700	300	n/a
514.45	4.85	control	1	1.374	700	300	700	1.0
519.3	4.85	control	1	1.021	300	500	300	1.0
524.15	4.85	control	1	1.047	300	500	700	n/a
