onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	1.199	guide	folk	smoke	2.0
8.93	4.93	O-P-	1	1.044	belt	wave	struck	n/a
13.86	4.93	O-P+	1	0.967	clone	trash	moan	1.0
18.79	4.93	O+P+	1	1.055	bench	lean	dean	2.0
23.72	4.93	O-P+	1	0.91	type	globe	ripe	1.0
28.65	4.93	O-P-	1	1.071	shacks	hinge	tong	n/a
33.58	4.93	O+P+	1	0.975	bond	brass	pond	1.0
38.51	4.93	O+P+	1	1.051	flask	slime	dime	2.0
43.44	4.93	O-P-	1	0.913	hike	lurch	loaf	n/a
48.37	4.93	O-P-	1	1.077	crook	sneeze	stout	n/a
57.3	4.85	control	1	1.145	300	500	700	n/a
62.15	4.85	control	1	1.076	500	700	300	n/a
67.0	4.85	control	1	1.125	300	500	300	1.0
71.85	4.85	control	1	1.102	700	300	500	n/a
76.7	4.85	control	1	1.161	500	300	300	2.0
81.55	4.85	control	1	1.057	700	500	700	1.0
86.4	4.85	control	1	1.022	700	300	700	1.0
91.25	4.85	control	1	1.058	300	700	700	2.0
96.1	4.85	control	1	1.067	500	700	700	2.0
100.95	4.85	control	1	1.197	500	300	700	n/a
109.8	4.93	O-P+	1	1.074	tying	cursed	thirst	2.0
114.73	4.93	O-P+	1	1.012	coil	stomp	swamp	2.0
119.66	4.93	O-P-	1	1.055	crude	damp	cops	n/a
124.59	4.93	O-P-	1	0.938	bound	roof	mark	n/a
129.52	4.93	O+P+	1	1.271	mumble	dressed	messed	2.0
134.45	4.93	O-P-	1	0.919	yours	shame	tube	n/a
139.38	4.93	O-P-	1	1.26	blank	heap	odds	n/a
144.31	4.93	O-P+	1	1.386	force	judge	source	1.0
149.24	4.93	O+P+	1	1.434	stripe	spoil	swipe	1.0
154.17	4.93	O+P+	1	1.023	crutch	chuckle	clutch	1.0
163.1	4.85	control	1	1.029	300	700	300	1.0
167.95	4.85	control	1	1.065	300	500	500	2.0
172.8	4.85	control	1	1.326	300	700	500	n/a
177.65	4.85	control	1	0.985	500	300	500	1.0
182.5	4.85	control	1	1.117	500	700	500	1.0
187.35	4.85	control	1	1.102	700	500	300	n/a
192.2	4.85	control	1	1.245	700	500	500	2.0
197.05	4.85	control	0	1.423	700	300	500	n/a
201.9	4.85	control	1	1.126	500	300	700	n/a
206.75	4.85	control	1	1.055	700	300	300	2.0
215.6	4.93	O+P+	1	1.134	bees	clothe	fees	1.0
220.53	4.93	O-P+	1	0.976	spaced	dangle	chased	1.0
225.46	4.93	O-P-	1	1.085	bull	dice	chuck	n/a
230.39	4.93	O+P+	1	1.109	ring	move	prove	2.0
235.32	4.93	O+P+	1	1.103	scald	ceased	greased	2.0
240.25	4.93	O-P+	1	0.955	news	beyond	whose	1.0
245.18	4.93	O-P-	1	1.01	sand	catch	truck	n/a
