onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	0.755	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	0.899	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	0.682	slave	hard	yard	2.0
18.73	4.91	O-P+	1	0.752	click	psalm	prom	n/a
23.64	4.91	O-P+	1	0.81	white	guilt	height	n/a
28.55	4.91	O+P+	1	0.58	temple	spend	tend	2.0
33.46	4.91	O-P-	1	0.677	lust	junk	bats	n/a
38.37	4.91	O+P+	1	0.894	team	pure	dream	1.0
43.28	4.91	O-P-	1	0.643	stack	castle	mint	n/a
48.19	4.91	O-P+	1	0.926	half	flag	graph	n/a
57.1	4.91	control	1	0.623	\ \	\ /	\ /	2.0
62.01	4.91	control	1	0.545	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.682	/ /	/ \	\ \	n/a
71.83	4.91	control	1	0.696	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.594	\ \	\ /	/ \	n/a
81.65	4.91	control	1	0.548	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.537	\ /	/ \	/ /	n/a
91.47	4.91	control	1	0.554	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.695	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.741	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	0.702	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	0.592	fool	cash	tool	1.0
120.02	4.91	O-P+	1	0.783	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	0.649	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	0.741	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	0.683	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	0.923	mold	twice	jack	n/a
144.57	4.91	O+P+	1	0.853	start	mind	part	1.0
149.48	4.91	O-P-	1	0.599	cracked	bunch	boots	n/a
154.39	4.91	O-P+	1	1.017	check	prize	rise	n/a
163.3	4.91	control	1	0.551	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.632	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.567	/ /	\ \	\ /	n/a
178.03	4.91	control	1	0.676	\ /	/ /	/ \	n/a
182.94	4.91	control	1	0.644	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.643	\ /	\ \	\ /	1.0
192.76	4.91	control	1	0.607	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.653	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.624	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.676	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	0.825	duct	fused	bruised	n/a
221.31	4.91	O-P+	1	0.694	skim	blur	gym	n/a
226.22	4.91	O+P+	1	0.753	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	0.977	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	0.769	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	0.711	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	0.676	trust	blame	wind	n/a
250.77	4.91	O+P+	0	1.081	harm	lift	swift	2.0
255.68	4.91	O-P+	0	0.914	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	0.726	racks	skit	tripe	n/a
269.5	4.91	control	1	0.566	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.624	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.64	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.65	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.643	\ /	/ \	/ /	n/a
294.05	4.91	control	1	0.622	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.627	/ /	\ /	/ /	1.0
303.87	4.91	control	1	0.714	\ \	/ \	/ /	n/a
308.78	4.91	control	1	0.722	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.699	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	0.594	climb	spit	scar	n/a
327.51	4.91	O-P-	1	0.647	boost	woke	dutch	n/a
332.42	4.91	O+P+	1	0.741	gland	price	stand	1.0
337.33	4.91	O-P-	1	0.688	burnt	quack	barge	n/a
342.24	4.91	O+P+	1	0.728	dunk	spoof	flunk	1.0
347.15	4.91	O-P+	1	0.746	your	they	more	n/a
352.06	4.91	O-P+	1	0.726	gulp	groom	womb	n/a
356.97	4.91	O+P+	1	0.633	shell	blade	shade	2.0
361.88	4.91	O-P+	1	0.664	flick	fraud	thawed	n/a
366.79	4.91	O-P-	1	0.832	lies	gable	mall	n/a
375.7	4.91	control	1	0.623	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.78	/ /	\ \	\ /	n/a
385.52	4.91	control	1	0.592	/ \	\ /	\ /	2.0
390.43	4.91	control	1	0.649	\ \	/ \	/ \	2.0
395.34	4.91	control	1	0.618	\ \	/ /	\ /	n/a
400.25	4.91	control	1	0.543	/ \	\ /	/ \	1.0
405.16	4.91	control	1	0.52	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.794	\ /	/ /	/ /	2.0
414.98	4.91	control	1	0.612	/ \	/ /	\ /	n/a
419.89	4.91	control	1	0.636	\ /	/ /	\ /	1.0
428.8	4.91	O-P+	1	0.681	strewn	deem	swoon	n/a
433.71	4.91	O-P-	1	0.661	shore	maybe	heart	n/a
438.62	4.91	O+P+	1	0.624	pray	bloom	gloom	2.0
443.53	4.91	O-P+	1	0.833	plea	hatch	spree	n/a
448.44	4.91	O+P+	1	0.73	plump	twitch	stitch	2.0
453.35	4.91	O-P-	1	0.555	snows	pouch	clam	n/a
458.26	4.91	O-P-	1	0.627	knock	burn	grab	n/a
463.17	4.91	O+P+	1	0.704	snail	mask	frail	1.0
468.08	4.91	O-P+	0	0.736	male	mean	queen	n/a
472.99	4.91	O-P-	1	0.51	coach	tooth	rank	n/a
481.9	4.91	control	1	0.593	/ /	\ /	\ \	n/a
486.81	4.91	control	1	0.542	\ /	\ \	\ \	2.0
491.72	4.91	control	1	0.605	/ \	\ \	/ /	n/a
496.63	4.91	control	1	0.472	\ \	\ /	\ \	1.0
501.54	4.91	control	1	0.679	/ \	/ /	/ /	2.0
506.45	4.91	control	1	0.664	\ \	/ \	\ /	n/a
511.36	4.91	control	1	0.611	/ /	/ \	/ /	1.0
516.27	4.91	control	1	0.694	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.68	\ \	/ \	/ \	2.0
526.09	4.91	control	0	0.509	/ \	\ \	/ \	1.0
