onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Unrelated	1	0.829	gravel	pants	turkey	n/a
8.91	4.91	Related	1	0.533	driver	silent	quiet	2.0
13.82	4.91	Related	1	0.543	tag	sock	shoe	2.0
18.73	4.91	Unrelated	1	0.586	able	mother	party	n/a
23.64	4.91	Related	1	0.54	throw	weapon	catch	1.0
28.55	4.91	Related	1	0.491	tablet	seafood	shrimp	2.0
33.46	4.91	Related	1	0.392	question	behind	answer	1.0
38.37	4.91	Unrelated	1	0.616	club	paid	thinking	n/a
43.28	4.91	Related	1	0.63	syrup	flown	pancakes	1.0
48.19	4.91	Unrelated	1	0.596	nursery	curtain	roar	n/a
57.1	4.91	control	1	0.619	\ /	/ \	\ /	1.0
62.01	4.91	control	1	0.61	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.691	\ \	\ /	/ \	n/a
71.83	4.91	control	1	0.62	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.519	\ /	/ \	/ /	n/a
81.65	4.91	control	1	0.528	/ \	/ /	\ /	n/a
86.56	4.91	control	1	0.742	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.488	/ /	/ \	\ \	n/a
96.38	4.91	control	1	0.548	/ /	/ \	/ \	2.0
101.29	4.91	control	1	0.473	\ \	\ /	\ /	2.0
110.2	4.91	Related	1	0.489	dog	vote	cat	1.0
115.11	4.91	Related	1	0.673	razor	drag	blade	1.0
120.02	4.91	Unrelated	0	0.733	choppy	bandit	thorn	n/a
124.93	4.91	Related	1	0.53	finish	recall	end	1.0
129.84	4.91	Unrelated	1	0.704	chunk	hoof	stitch	n/a
134.75	4.91	Unrelated	1	0.709	roller	kettle	chalk	n/a
139.66	4.91	Related	1	0.537	peanut	oyster	clam	2.0
144.57	4.91	Unrelated	1	0.703	stream	guy	rear	n/a
149.48	4.91	Related	1	0.87	priest	sketch	draw	2.0
154.39	4.91	Related	1	0.409	stinging	washer	dryer	2.0
163.3	4.91	control	1	0.479	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.497	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.497	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.55	/ /	\ \	\ /	n/a
182.94	4.91	control	1	0.435	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.4	/ \	/ /	/ /	2.0
192.76	4.91	control	1	0.54	/ /	\ \	/ /	1.0
197.67	4.91	control	1	0.514	/ \	/ /	/ \	1.0
202.58	4.91	control	1	0.528	/ \	\ \	/ /	n/a
207.49	4.91	control	1	0.633	\ /	/ /	/ \	n/a
216.4	4.91	Related	1	0.65	tenth	circus	clown	2.0
221.31	4.91	Unrelated	1	0.612	blanket	cried	split	n/a
226.22	4.91	Related	1	0.491	dipping	smudge	smear	2.0
231.13	4.91	Unrelated	1	0.52	wing	hunter	lemon	n/a
236.04	4.91	Related	1	0.811	rib	jello	pudding	2.0
240.95	4.91	Related	1	0.629	server	flashy	waiter	1.0
245.86	4.91	Related	1	0.565	dime	fuss	nickel	1.0
250.77	4.91	Unrelated	1	0.526	pillow	bounce	grinding	n/a
255.68	4.91	Related	0	0.876	left	got	right	1.0
260.59	4.91	Unrelated	1	0.69	cream	pipe	grip	n/a
269.5	4.91	control	1	0.532	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.738	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.633	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.427	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.53	\ \	/ /	/ /	2.0
294.05	4.91	control	1	0.504	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.512	\ /	/ \	/ /	n/a
303.87	4.91	control	1	0.564	/ \	\ \	/ \	1.0
308.78	4.91	control	1	0.518	/ /	\ /	/ /	1.0
313.69	4.91	control	1	0.572	\ \	/ \	/ /	n/a
322.6	4.91	Related	1	0.454	yours	arrive	mine	1.0
327.51	4.91	Unrelated	1	0.765	took	system	head	n/a
332.42	4.91	Related	1	0.541	how	little	big	2.0
337.33	4.91	Unrelated	1	0.721	scar	mister	tunnel	n/a
342.24	4.91	Unrelated	1	0.574	rich	store	pointed	n/a
347.15	4.91	Related	1	0.538	angle	achieve	goal	2.0
352.06	4.91	Related	1	0.534	racket	stealth	tennis	1.0
356.97	4.91	Unrelated	1	0.59	tangle	pretend	barker	n/a
361.88	4.91	Related	1	0.541	glue	lifting	sticky	1.0
366.79	4.91	Related	1	0.517	bush	thunder	lightning	2.0
375.7	4.91	control	1	0.629	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.63	/ \	\ /	\ /	2.0
385.52	4.91	control	1	0.577	/ \	/ /	\ /	n/a
390.43	4.91	control	1	0.636	\ /	/ /	\ /	1.0
395.34	4.91	control	1	0.448	\ \	/ \	/ \	2.0
400.25	4.91	control	1	0.553	\ \	/ /	\ /	n/a
405.16	4.91	control	1	0.681	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.506	/ \	\ /	/ \	1.0
414.98	4.91	control	1	0.451	\ /	/ /	/ /	2.0
419.89	4.91	control	1	0.441	/ /	\ \	\ /	n/a
428.8	4.91	Related	1	0.718	lend	instinct	borrow	1.0
433.71	4.91	Unrelated	1	0.521	hearing	formed	bottle	n/a
438.62	4.91	Related	1	0.558	mask	cheese	cracker	2.0
443.53	4.91	Related	1	0.907	plenty	motion	movement	2.0
448.44	4.91	Related	1	0.49	cow	silver	gold	2.0
453.35	4.91	Unrelated	1	0.66	tilting	jewel	moan	n/a
458.26	4.91	Unrelated	1	0.69	corn	pencil	blame	n/a
463.17	4.91	Related	1	0.515	thin	jack	fat	1.0
468.08	4.91	Unrelated	1	0.794	starter	pigeon	gamble	n/a
472.99	4.91	Related	1	1.129	temper	deaf	tantrum	1.0
481.9	4.91	control	1	0.393	/ \	/ /	/ /	2.0
486.81	4.91	control	1	0.456	\ \	/ \	/ \	2.0
491.72	4.91	control	1	0.559	\ \	/ \	\ /	n/a
496.63	4.91	control	1	0.55	/ /	/ \	/ /	1.0
501.54	4.91	control	1	0.474	\ /	\ \	\ \	2.0
506.45	4.91	control	1	0.606	\ /	/ /	\ \	n/a
511.36	4.91	control	1	0.657	/ \	\ \	/ /	n/a
516.27	4.91	control	1	0.544	/ \	\ \	/ \	1.0
521.18	4.91	control	1	0.547	\ \	\ /	\ \	1.0
526.09	4.91	control	1	0.582	/ /	\ /	\ \	n/a
